City_name,negative,neutral,positive
Cebu,0.0,0.28,0.72
Ho Chi Minh City,0.08,0.2,0.72
Istanbul,0.05,0.2,0.75
Jakarta,0.04,0.24,0.72
Macau,0.0,0.24,0.76
Qingdao,0.06666666666666667,0.4,0.5333333333333333
