country,area,size_vs_korea,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,annual_temp_range,temp_diff_korea,temp_diff_06_korea,temp_diff_07_korea,temp_diff_08_korea,creditcard_ratio,ratio_korea_area,aged_pop_pct,aged_vs_korea,Country,Religion,VISA_yesorno,Travel Safety Score,Travel Status,Latitude,Longitude,Cluster
Argentina,2736690.0,Big,21.2020813815789,20.2994636973684,18.1609494605263,14.4246021381579,10.8247739933333,7.806777204,7.376748956,9.25608597066667,11.7411047133333,14.9752133466667,17.8736424133333,20.1908230933333,-13.8253324255789,-12.3585093411185,낮음,낮음,낮음,28.89,28.0398565573771,12.2030217969226,-6.1320017869371,Argentina,Catholic,X,7,여행자제,-38.416097,-63.616672,3
Australia,7692020.0,Big,28.0975630131579,27.3495133421053,25.7300052631579,22.427153,18.18902244,15.10537206,14.4048373333333,16.3028977666667,19.90688716,23.3157622933333,25.7588422133333,27.4062402133333,-13.6927256798246,-12.4911160868728,낮음,낮음,낮음,51.41,78.8116803278689,17.384024966198,-0.9509986176617,Australia,Protestant,O,10,해당사항 없음 ,-25.274398,133.775136,3
Belgium,30494.0,Small,2.48706261078947,3.03154070493421,5.79288291052632,8.73741698026316,12.65478306,15.61217646,17.3807187066667,17.1491933266667,14.317742,10.60148412,6.15024612133333,3.48498145986667,14.8936560958772,-11.2901856708202,낮음,낮음,낮음,49.82,0.312438524590164,20.1452749547016,1.8102513708419,Belgium,Catholic,X,8,여행유의,50.503887,4.469936,0
Brazil,8358140.0,Big,25.0453105789474,24.9932865,24.8519127631579,24.4284861447368,23.7145552133333,23.2389168533333,23.2850392133333,24.4638638933333,25.5166058666667,25.8132441333333,25.46056188,25.23273528,-1.7602713656141,-24.4235704010833,높음,낮음,낮음,40.43,85.6366803278689,10.6336314676644,-7.7013921161953,Brazil,Catholic,X,7,여행자제,-14.235004,-51.92528,4
Canada,8788700.0,Big,-21.8323081184211,-20.1562306842105,-14.6727260197368,-5.97871437631579,2.443748448,9.58894730533333,13.4159028266667,11.8422206533333,6.007360888,-1.74730744072,-11.2089352453333,-18.3650357266667,35.2482109450878,9.0643691783904,낮음,낮음,낮음,82.74,90.0481557377049,19.3581192161771,1.0230956323174,Canada,Protestant,O,10,해당사항 없음 ,56.130366,-106.346771,1
Chile,743532.0,Big,12.9905292434211,12.9310422697368,11.715209506579,9.40008312894737,6.87635187066667,4.63874874133333,4.16686265066667,5.222757964,6.68833536533333,8.573027312,10.4281086466667,12.09155874,-8.82366659275443,-17.360175173943,낮음,낮음,낮음,24.28,7.61815573770492,13.6933190598527,-4.641704524007,Chile,Catholic,X,7,여행자제,-35.675147,-71.542969,3
China,9388210.0,Big,-7.97376877236842,-4.83606242105263,1.33466536419737,7.96995388157895,13.34227596,17.53059608,19.7576239333333,18.7603282266667,14.2898517533333,7.39292936666667,-0.317242305670667,-6.27848920266667,27.7313927057017,1.5475509390043,낮음,낮음,낮음,37.95,96.1906762295082,14.3160774690688,-4.0189461147909,China,,X,7,"여행유의(홍콩, 마카오), 여행특별경보(신장위구르, 티베트), 여행유의(그 외 본토)",51.4323465,6.7708159,1
Croatia,55960.0,Small,1.25681252709211,2.91578090828947,6.77450894736842,11.2506934934211,15.8823933266667,19.6849417466667,21.7771782933333,21.3633275733333,17.1017740066667,12.13066658,7.00595902266667,2.80695720546667,20.5203657662412,-5.6634760004562,낮음,낮음,낮음,35.75,0.573360655737705,22.815365461733,4.4803418778733,Croatia,Catholic,X,10,해당사항 없음 ,45.1,15.2,1
Czechia,77171.73,Small,-1.95481778605263,-0.70750703,3.06927025407895,7.87262316447368,12.6556788866667,16.11621992,17.7895707866667,17.3921018333333,13.2921763466667,8.33806473333333,3.24873491444,-0.3875403902,19.7443885727193,-6.4394531939781,낮음,낮음,낮음,29.85,0.790693954918033,20.5459005583495,2.2108769744898,Czechia,,X,10,해당사항 없음 ,49.817492,15.472962,1
Denmark,40000.0,Small,1.17521839780263,0.941685567565789,2.86382882875,6.32924495921053,10.86640326,14.4472535466667,16.3735484133333,16.3894957,13.4701235333333,9.62907334133333,5.51910038533333,2.61033452309333,15.1983300155307,-10.9855117511667,낮음,낮음,낮음,58.5,0.409836065573771,20.6001829312424,2.2651593473827,Denmark,Protestant,X,8,여행유의,56.26392,9.501785,0
Egypt,995450.0,Big,12.7749281184211,14.615686875,18.3437561315789,23.1160282631579,26.96612724,29.4274104266667,30.09088648,30.0257174,27.7885478933333,24.0677326533333,18.51640362,14.14278022,17.3159583615789,-8.8678834051185,높음,높음,높음,2.8,10.1992827868852,4.96968538776552,-13.3653381960942,Egypt,Islam,O,7,"출국권고: 시나이 반도 중북부, 여행자제: 시나이 반도 남부 일부와 서부 사막 , 여행유의: 카이로, 나일강 유역 등 그 외 지역",26.820553,30.802498,2
France,547557.0,Big,6.4401910881579,7.19036368723684,9.5471369381579,11.8231736513158,15.02721974,17.9760643733333,19.8661480533333,19.66577736,17.2426113333333,13.9080109333333,9.724916052,7.25642527733333,13.4259569651754,-12.757884801522,낮음,낮음,낮음,39.76,5.61021516393443,21.7491423914771,3.4141188076174,France,Catholic,X,8,여행유의,46.227638,2.213749,0
