Cluster,temp_01,temp_07,annual_temp_range,temp_diff_korea,creditcard_ratio,Travel Safety Score,count_countries,area,Cluster_types
0,4.1111176348433,19.4178651878788,15.3067475530355,-10.8770942136619,43.837272727272705,7.90909090909091,11,218390.934636364,북반구 중위도 지역 (유럽 대다수)
1,-4.84643746898786,18.1528981557949,22.9993356247827,-3.18450614191468,41.612307692307695,8.69230769230769,13,2287313.18153846,"겨울이 춥고 연교차가 큰 중국, 북아메리카 지역과 유럽 일부 지역"
2,14.5518851278195,29.4271685619048,14.8752834340852,-11.3085583326122,18.9085714285714,5.85714285714286,7,1225807.14285714,연교차가 있으나 7월이 무척 더운 아열대 기후 지역
3,19.2999189276316,7.76714724099999,-11.5327716866316,-14.6510700800658,40.4475,8.5,4,2858888.0,호주 등이 포함된 남반구 중위도 국가
4,22.7702904605263,23.7404818466667,0.970191386140338,-23.7467977851185,11.72875,6.375,8,1733441.80875,열대 기후의 개발도상국
