City_name,negative,neutral,positive
Alexandria,0.16,0.24,0.6
Bangkok,0.16,0.08,0.76
Casablanca,0.12,0.28,0.6
Delhi,0.12,0.24,0.64
Kota Kinabalu,0.16,0.04,0.8
Nice,0.12,0.08,0.8
Zurich,0.2,0.1,0.7
